state,cases,deaths,deaths_rate,lat,lon
Alabama,1297091,19379,1.49,32.318231,-86.902298
Alaska,247078,1192,0.48,63.588753,-154.493062
American Samoa,5341,12,0.22,-14.270972,-170.132217
Arizona,2014020,29681,1.47,34.048928,-111.093731
Arkansas,833718,11313,1.36,35.20105,-91.831833
California,9134794,89484,0.98,36.778261,-119.417932
Colorado,1364255,12206,0.89,39.550051,-105.782067
Connecticut,742730,10802,1.45,41.603221,-73.087749
Delaware,260291,2884,1.11,38.910832,-75.52767
District of Columbia,137603,1333,0.97,38.905985,-77.033418
Florida,5867926,73583,1.25,25.77427,-80.19366
Georgia,2434702,35943,1.48,32.157435,-82.907123
Guam,48568,353,0.73,13.444304,144.793731
Hawaii,235797,1379,0.58,19.898682,-155.665857
Idaho,444847,4900,1.1,44.068202,-114.742041
Illinois,3090590,37777,1.22,40.633125,-89.398528
Indiana,1694848,23486,1.39,40.551217,-85.602364
Iowa,759721,9454,1.24,41.878003,-93.097702
Kansas,772095,8422,1.09,39.011902,-98.484246
Kentucky,1329255,15211,1.14,37.839333,-84.270018
Louisiana,1233673,17182,1.39,31.244823,31.244823
Maine,237717,2222,0.93,45.253783,-69.445469
Maryland,1017235,14377,1.41,39.045755,-76.641271
Massachusetts,1714167,23751,1.39,42.407211,-71.382437
Michigan,2387517,35736,1.5,44.314844,-85.602364
Minnesota,1434138,12687,0.88,46.729553,-94.6859
Mississippi,795824,12413,1.56,32.354668,-89.398528
Missouri,1429770,20178,1.41,37.964253,-91.831833
Montana,273163,3255,1.19,46.879682,-110.362566
Nebraska,478183,4175,0.87,41.492537,-99.901813
Nevada,714652,10164,1.42,38.80261,-116.419389
New Hampshire,304365,2459,0.81,43.193852,-71.572395
New Jersey,2216804,33308,1.5,40.058324,-74.405661
New Mexico,519262,7375,1.42,34.97273,-105.032363
New York,5027587,67413,1.34,43.299428,-74.217933
North Carolina,2635871,23268,0.88,35.759573,-79.0193
North Dakota,240110,2301,0.96,47.551493,-101.002012
Northern Mariana Islands,11203,34,0.3,15.183333,145.75
Ohio,2676629,38166,1.43,40.417287,-82.907123
Oklahoma,1036133,14087,1.36,35.007752,-97.092877
Oregon,707512,7315,1.03,43.804133,-120.554201
Pennsylvania,2789749,44425,1.59,41.203322,-77.194525
Puerto Rico,521407,4177,0.8,18.220833,-66.590149
Rhode Island,364184,3527,0.97,41.580095,-71.477429
South Carolina,1469706,17650,1.2,33.836081,-81.163725
South Dakota,237246,2893,1.22,43.969515,-99.901813
Tennessee,1974299,25757,1.3,35.517491,-86.580447
Texas,6707045,87801,1.31,31.968599,-99.901813
Utah,928847,4730,0.51,39.32098,-111.093731
Vermont,118520,623,0.53,44.558803,-72.577841
Virgin Islands,15764,111,0.7,18.335765,-64.896335
Virginia,1678215,19884,1.18,37.431573,-78.656894
Washington,1469439,12627,0.86,47.751074,-120.740139
West Virginia,498542,6839,1.37,38.597626,-80.454903
Wisconsin,1591806,14349,0.9,43.78444,-88.787868
Wyoming,156281,1796,1.15,43.075968,-107.290284
